RK,Team,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,SEED,POSTSEASON
104,Providence,BE,32,12,111.2,105,0.6583,52.1,49.5,19,13.8,BE,32,12,111.2,105,0.6583,52.1,49.5,19,13.8,33.2,28.7,N/A,
105,New Mexico St.,CUSA,32,17,104.7,99,0.6556,46.2,46.9,15.6,15,CUSA,32,17,104.7,99,0.6556,46.2,46.9,15.6,15,32.5,27.7,N/A,
106,Washington St.,WCC,33,19,112.7,106.7,0.6527,56.7,51.3,20.4,17.3,WCC,33,19,112.7,106.7,0.6527,56.7,51.3,20.4,17.3,31.3,33.4,N/A,
107,Syracuse,ACC,33,14,110.9,105.2,0.6485,51,52.9,17.9,14,ACC,33,14,110.9,105.2,0.6485,51,52.9,17.9,14,31.4,26.1,N/A,
108,Saint Louis,A10,33,19,108.8,103.5,0.6406,56.3,48.6,18.6,14.4,A10,33,19,108.8,103.5,0.6406,56.3,48.6,18.6,14.4,23.6,28,N/A,
109,UNC Wilmington,CAA,34,27,112.2,106.8,0.639,52.2,50.9,16,17.4,CAA,34,27,112.2,106.8,0.639,52.2,50.9,16,17.4,35.4,28.1,14,
110,Utah Valley,WAC,33,25,107,101.8,0.6378,50.8,47.4,17.3,16.9,WAC,33,25,107,101.8,0.6378,50.8,47.4,17.3,16.9,31.1,26.6,N/A,
111,Florida Atlantic,Amer,33,18,112.2,106.8,0.6377,53.2,49.6,16.3,16,Amer,33,18,112.2,106.8,0.6377,53.2,49.6,16.3,16,30.7,31.6,N/A,
112,DePaul,BE,33,14,109.3,104.1,0.6372,52.7,51.4,17.9,15.5,BE,33,14,109.3,104.1,0.6372,52.7,51.4,17.9,15.5,27.2,28.7,N/A,
113,North Alabama,ASun,34,24,112,106.7,0.6371,51.7,50.5,12.5,16.8,ASun,34,24,112,106.7,0.6371,51.7,50.5,12.5,16.8,33.5,29,N/A,
114,St. Thomas,Sum,34,24,114.1,108.8,0.634,57.8,52.5,13.7,18.5,Sum,34,24,114.1,108.8,0.634,57.8,52.5,13.7,18.5,21.5,31.2,N/A,
115,N.C. State,ACC,31,12,107.7,102.7,0.6331,48.3,51,14.4,18.6,ACC,31,12,107.7,102.7,0.6331,48.3,51,14.4,18.6,28.8,32.5,N/A,
116,George Washington,A10,33,21,107.6,102.7,0.632,50.6,48.4,18.2,19.4,A10,33,21,107.6,102.7,0.632,50.6,48.4,18.2,19.4,32.1,32.7,N/A,
117,Northern Iowa,MVC,32,20,108.6,103.7,0.6291,55.5,51.5,15.9,17.4,MVC,32,20,108.6,103.7,0.6291,55.5,51.5,15.9,17.4,25.6,25.2,N/A,
118,Washington,B10,31,13,109.2,104.5,0.626,50.6,53,17.5,16.7,B10,31,13,109.2,104.5,0.626,50.6,53,17.5,16.7,27.5,28.5,N/A,
119,Northern Colorado,BSky,34,25,111.8,106.9,0.6258,57.3,52.1,15.7,15.5,BSky,34,25,111.8,106.9,0.6258,57.3,52.1,15.7,15.5,25.2,22.2,N/A,
120,Middle Tennessee,CUSA,33,22,108.5,103.8,0.6233,50.8,48.5,16.6,16.1,CUSA,33,22,108.5,103.8,0.6233,50.8,48.5,16.6,16.1,30.7,29,N/A,
121,California,ACC,33,14,110,105.7,0.6142,47.8,53,16.6,16.3,ACC,33,14,110,105.7,0.6142,47.8,53,16.6,16.3,34.7,28.8,N/A,
122,North Dakota St.,Sum,32,21,115.5,111.2,0.6085,58.2,51.4,15.6,11.1,Sum,32,21,115.5,111.2,0.6085,58.2,51.4,15.6,11.1,26.2,29,N/A,
